ensemble,n,k,param_label,param_value,distance_label,d_mean,d_n,d_stdv
gnp,500,70.0,p,0.14,IpsenMikhailov,0.04049803,1000,0.01370586
gnp,500,70.0,p,0.14,Jaccard,0.92468939,1000,0.00231158
gnp,500,70.0,p,0.14,LaplacianSpectralEUL,0.04902163,1000,0.00598107
gnp,500,70.0,p,0.14,LaplacianSpectralGJS,0.02619835,1000,0.00457942
gnp,500,70.0,p,0.14,NetLSD,0.15896388,1000,0.11814224
gnp,500,70.0,p,0.14,NetSimile,8.86701107,1000,1.53272999
gnp,500,70.0,p,0.14,NonBacktrackingSpectral,0.54435397,1000,0.15689231
gnp,500,70.0,p,0.14,PolynomialDissimilarity,0.00163511,1000,6.42e-06
gnp,500,70.0,p,0.14,PortraitDivergence,0.04128731,1000,0.00868027
gnp,500,70.0,p,0.14,QuantumJSD,0.41460627,1000,0.00726209
gnp,500,70.0,p,0.14,ResistancePerturbation,2.25839741,1000,0.10206821
gnp,500,80.0,p,0.16,CommunicabilityJSD,3.524e-05,1000,3.171e-05
gnp,500,80.0,p,0.16,DMeasure,0.00282379,1000,0.00154423
gnp,500,80.0,p,0.16,DegreeDivergence,0.04729101,1000,0.01002563
gnp,500,80.0,p,0.16,DeltaCon,11.38164822,1000,0.36622515
gnp,500,80.0,p,0.16,DistributionalNBD,0.37281192,1000,0.07488958
gnp,500,80.0,p,0.16,Frobenius,155.25480888,1000,0.54775399
gnp,500,80.0,p,0.16,GraphDiffusion,1.5322707,1000,0.41719602
gnp,500,80.0,p,0.16,Hamming,0.26793392,1000,0.00199513
gnp,500,80.0,p,0.16,HammingIpsenMikhailov,0.19052041,1000,0.00147214
gnp,500,80.0,p,0.16,IpsenMikhailov,0.04070695,1000,0.0138283
gnp,500,80.0,p,0.16,Jaccard,0.9131057,1000,0.00233082
gnp,500,80.0,p,0.16,LaplacianSpectralEUL,0.04731656,1000,0.00603837
gnp,500,80.0,p,0.16,LaplacianSpectralGJS,0.02475316,1000,0.0042204
gnp,500,80.0,p,0.16,NetLSD,0.12169212,1000,0.08576101
