ensemble,n,param_label,param_value,distance_label,d_mean,d_n,d_stdv
gnk,31,n,31,ResistancePerturbation,8.526686596946902,321,2.6553016109622716
gnp,38,n,38,DeltaCon,5.01984119431667,364,0.23327630688630507
gnp,38,n,38,ResistancePerturbation,26.738618165471937,67,5.9330311883283615
gnp,38,n,38,QuantumJSD,0.14469968980234654,364,0.008957965481800544
gnp,38,n,38,PortraitDivergence,0.22917029872078618,364,0.0764811992070816
gnp,38,n,38,PolynomialDissimilarity,0.011075795325614847,364,0.00042054828849970164
gnp,38,n,38,NonBacktrackingSpectral,0.22714767520370327,364,0.05654722555365876
gnp,38,n,38,NetSimile,10.97349103962929,364,2.1450827852392558
gnp,38,n,38,NetLSD,11.89424630659684,364,9.643398332492763
gnp,38,n,38,LaplacianSpectralGJS,0.4600169555301392,364,0.031403809691360626
gnp,38,n,38,DegreeDivergence,0.0964929552657579,364,0.04012950717051509
gnk,38,n,38,CommunicabilityJSD,0.003989928774601034,352,0.003679872365950978
gnp,38,n,38,Jaccard,0.9460599737309854,364,0.018158211950194347
gnp,38,n,38,IpsenMikhailov,0.16717507307887372,364,0.03520866347731322
gnp,38,n,38,HammingIpsenMikhailov,0.13403338073212595,364,0.011370418888130186
gnp,38,n,38,Hamming,0.17940367925583783,364,0.013412552123135316
gnp,38,n,38,GraphDiffusion,2.2751148011770597,364,0.16531073531297633
gnp,38,n,38,Frobenius,15.87106025452973,364,0.5933028045813132
gnp,38,n,38,DistributionalNBD,5.176880597058323,364,1.5863682008011337
gnp,38,n,38,CommunicabilityJSD,0.01029238823243973,364,0.010264996470799235
gnp,38,n,38,LaplacianSpectralEUL,0.5660164051644222,364,0.04568201587453524
gnp,38,n,38,DMeasure,0.1161191656489216,364,0.054950333248570925
gnk,38,n,38,DMeasure,0.0623770139161328,352,0.03642833769439554
gnk,38,n,38,Jaccard,0.9127580451036994,352,0.017811759212066212
gnk,38,n,38,QuantumJSD,0.1778201012127705,352,0.00977809537089054
gnk,38,n,38,PortraitDivergence,0.23421051628278863,352,0.07554605675555547
gnk,38,n,38,PolynomialDissimilarity,0.0137495110959087,352,0.00040242709300232764
gnk,38,n,38,NonBacktrackingSpectral,0.26523370167047117,352,0.06572140521143786
gnk,38,n,38,NetSimile,10.733236404958175,352,1.7760745821799897
gnk,38,n,38,NetLSD,2.5080169706236988,352,3.442149936620542
gnk,38,n,38,LaplacianSpectralGJS,0.38444043757755897,352,0.027031967179832084
gnk,38,n,38,ResistancePerturbation,10.783568353399144,307,3.039486215055218
gnk,38,n,38,LaplacianSpectralEUL,0.5038369938579498,352,0.03687510880679684
gnk,38,n,38,HammingIpsenMikhailov,0.19844428729259764,352,0.012054515862220738
gnk,38,n,38,Hamming,0.2733660036671902,352,0.015866694627349322
gnk,38,n,38,GraphDiffusion,1.6963813713100169,352,0.15778671349042048
gnk,38,n,38,Frobenius,19.59662912644568,352,0.5706744056780952
gnk,38,n,38,DistributionalNBD,4.033608196561309,352,1.1044671502058507
gnk,38,n,38,DeltaCon,4.54430500527742,352,0.19139085171846698
gnk,38,n,38,DegreeDivergence,0.1238373131105088,352,0.04833801151821233
gnk,38,n,38,IpsenMikhailov,0.15988151410809565,352,0.03510461700520062
gnp,47,n,47,CommunicabilityJSD,0.005648710889061942,364,0.005867102724843759
gnk,47,n,47,CommunicabilityJSD,0.0033900005197040205,352,0.003066622920908184
gnk,47,n,47,DegreeDivergence,0.10184446013953839,352,0.03932795042860547
gnk,47,n,47,QuantumJSD,0.17985958929556392,352,0.008483302574562831
gnk,47,n,47,PortraitDivergence,0.22673548877574617,352,0.06356333211858697
gnk,47,n,47,PolynomialDissimilarity,0.01008381873900898,352,0.00025566727626392217
gnk,47,n,47,NonBacktrackingSpectral,0.2388787324568528,352,0.0633028308379657
gnk,47,n,47,NetSimile,10.58423772276937,352,1.702755973381231
gnk,47,n,47,NetLSD,2.7165883067257757,352,3.329008280630409
gnk,47,n,47,LaplacianSpectralGJS,0.3280881403998626,352,0.026517544032605613
gnk,47,n,47,DMeasure,0.058007190120679515,352,0.03487488675203029
