ensemble,n,k,param_label,param_value,distance_label,d_mean,d_n,d_stdv
scm,1000,12,gamma,2.21,DistributionalNBD,9.821425728433939,1172,9.900816630951388
scm,1000,12,gamma,2.21,Frobenius,160.37936698551692,1172,115.08650186497225
scm,1000,12,gamma,2.21,GraphDiffusion,64.57046323759394,1172,983.9139686708947
scm,1000,12,gamma,2.21,Hamming,0.03899409855060538,1172,0.07451409698213743
scm,1000,12,gamma,2.21,HammingIpsenMikhailov,0.1323800387852847,1172,0.14162149451670097
scm,1000,12,gamma,2.21,IpsenMikhailov,0.26626266486732425,1172,0.23745988845989544
scm,1000,12,gamma,2.21,Jaccard,0.9958657620225776,1172,0.0020661452345952253
scm,1000,12,gamma,2.21,LaplacianSpectralEUL,0.4956030555519965,1172,0.4301815354948668
scm,1000,12,gamma,2.21,LaplacianSpectralGJS,0.21703314787271968,1172,0.16805858662494863
scm,1000,12,gamma,2.21,NetLSD,386.05543520583007,1172,325.8667969239583
scm,1000,12,gamma,2.21,NetSimile,11.187678520256773,1172,6.740252504243633
scm,1000,12,gamma,2.21,NonBacktrackingSpectral,2.0286112527070252,1172,4.23145331405827
scm,1000,12,gamma,2.21,PolynomialDissimilarity,0.0001666211076013325,1172,0.00013428402027682552
scm,1000,12,gamma,2.21,PortraitDivergence,0.4934657016736656,1172,0.19725274619450073
scm,1000,12,gamma,2.21,QuantumJSD,0.3497193350956984,1172,0.19984687794022546
scm,1000,12,gamma,2.26,CommunicabilityJSD,0.03365702818607118,1172,0.05972770961404828
scm,1000,12,gamma,2.26,DMeasure,0.1292748073309816,1172,0.11567152020747117
scm,1000,12,gamma,2.26,DegreeDivergence,0.2051659117656772,1172,0.2759631843545127
scm,1000,12,gamma,2.26,DeltaCon,10.600434030831398,1172,8.88080084570512
scm,1000,12,gamma,2.26,DistributionalNBD,8.583670400391322,1172,9.174197415800139
scm,1000,12,gamma,2.26,Frobenius,154.1979612794858,1172,96.26550708100558
scm,1000,12,gamma,2.26,GraphDiffusion,31.542752412998006,1172,290.35205798199996
scm,1000,12,gamma,2.26,Hamming,0.03306919419419417,1172,0.06254336657520099
scm,1000,12,gamma,2.26,HammingIpsenMikhailov,0.1134557722571658,1172,0.130338869732647
scm,1000,12,gamma,2.26,IpsenMikhailov,0.23041619331444183,1172,0.22258564866038272
scm,1000,12,gamma,2.26,Jaccard,0.9956240891561157,1172,0.0018357973721011168
scm,1000,12,gamma,2.26,LaplacianSpectralEUL,0.3909177929594253,1172,0.37477119849465534
scm,1000,12,gamma,2.26,LaplacianSpectralGJS,0.18379400285708186,1172,0.14886062857889423
scm,1000,12,gamma,2.26,NetLSD,274.7771266043217,1172,235.02351015060498
scm,1000,12,gamma,2.26,NetSimile,10.218360118494857,1172,6.145996365773205
scm,1000,12,gamma,2.26,NonBacktrackingSpectral,1.6106983315751517,1172,3.533941601863374
scm,1000,12,gamma,2.26,PolynomialDissimilarity,0.0001585767949084207,1172,0.00011235907345722548
scm,1000,12,gamma,2.26,PortraitDivergence,0.4573435431598841,1172,0.1895402560536077
scm,1000,12,gamma,2.26,QuantumJSD,0.34274931643433576,1172,0.16547028321282273
scm,1000,12,gamma,2.26,ResistancePerturbation,1.6671397748935095,3,
scm,1000,12,gamma,2.31,CommunicabilityJSD,0.022290589251275725,1172,0.04209700614788278
scm,1000,12,gamma,2.31,DMeasure,0.1075060655122152,1172,0.09366108259069493
scm,1000,12,gamma,2.31,DegreeDivergence,0.1624199965408411,1172,0.22565277483546184
scm,1000,12,gamma,2.31,DeltaCon,9.84033944237795,1172,6.6983364399242316
scm,1000,12,gamma,2.31,DistributionalNBD,7.3323748167402325,1172,7.85554575132974
scm,1000,12,gamma,2.31,Frobenius,146.16666054719207,1172,71.53518545304831
scm,1000,12,gamma,2.31,GraphDiffusion,11.919422732919564,1172,22.27004720726586
scm,1000,12,gamma,2.31,Hamming,0.026504098276358568,1172,0.04659311778981437
scm,1000,12,gamma,2.31,HammingIpsenMikhailov,0.09353675101931436,1172,0.1108917219410809
scm,1000,12,gamma,2.31,IpsenMikhailov,0.19709023442583284,1172,0.19861786363291495
scm,1000,12,gamma,2.31,Jaccard,0.9954725404204556,1172,0.0016409268885603388
scm,1000,12,gamma,2.31,LaplacianSpectralEUL,0.2823632590583139,1172,0.30063872477236364
scm,1000,12,gamma,2.31,LaplacianSpectralGJS,0.15014200358357174,1172,0.12192009436902174
scm,1000,12,gamma,2.31,NetLSD,176.94312177656263,1172,147.622484317478
scm,1000,12,gamma,2.31,NetSimile,9.320040654075504,1172,5.232814360296489
scm,1000,12,gamma,2.31,NonBacktrackingSpectral,1.1728468995071537,1172,2.6663894262904337
scm,1000,12,gamma,2.31,PolynomialDissimilarity,0.00014862291529911867,1172,8.339326178922709e-05
scm,1000,12,gamma,2.31,PortraitDivergence,0.4173158349784896,1172,0.16210596420587337
